id,Iso2,acceso_agua_potable(%),acceso_servicios_sanitarios(%),camas_hospitales_c/1000personas,cambio_de_la_población,cambio_natural_población,capacidad_estadística,año,densidad_población_por_kilómetro_cuadrado),duración_educ_obligatoria,emisiones_co2,esperanza_vida_mujeres,esperanza_vida_total,esperanza_vida_varones,estabilidad_política,estado_civil_casado_porcentaje,gasto_púb_educacion_pje,pais_id,inversion_salud_percapita,mediana_edad_población,migración_neta_total,mortalidad_infantil_c/1000nacimientos,pib_pc_prec_inter,pib_pc_usd_actuales,pib_ppa_prec_inter,población_femenina_edad_reproductiva_(15-49 años),población_hombres_pje,población_mujeres_pje,población_total_por_sexo_ambos,población_total_por_sexo_fem,población_total_por_sexo_masc,porcentaje_de_bosque,prevalencia_anticonceptivos_porcentaje,proporción_sexos_población_total,tasa_bruta_cambio_natural_población,tasa_bruta_migración_neta,tasa_bruta_mortalidad_por_1000_habitantes,tasa_bruta_variación_total_población,tasa_desempleo,tasa_fertilidad,tasa_mortalidad_infantil_ambos,tasa_mortalidad_infantil_fem,tasa_mortalidad_infantil_masc,tasa_mortalidad_menores_cinco_años_ambos,tasa_mortalidad_menores_cinco_años_fem,tasa_mortalidad_menores_cinco_años_masc,tasa_mortalidad_suicidio_c/100.000,tasa_poblacion_urbana,total_muertes_por_sexo_ambos,total_muertes_por_sexo_fem,total_muertes_por_sexo_masc,índice_gini
2091,GM,76.02783315,46.23954281,,52562.0,55231.0,64.4444444444444,2006,169.100197628458,9.0,0.226209665124953,59.554,58.313,57.161,-0.0341241136193275,70.4616092523626,0.751630008220673,86.0,41.04983521,15.8883155444807,-2667.0,51.5,2080.85221655869,662.362877179135,3311559774.92902,405963.0,49.664204332669,50.335795667331,1711294.0,866989.0,844305.0,31.9102766798419,10.4,97.3835884884353,32.234,-1.557,10.132,3.072,9.30399990081787,5.757184,50.4842,47.53924,53.37566,87.5820963633357,81.3010325875499,93.707623579194,5.7,52.751,17360.0,8316.0,9044.0,
2092,GM,75.67240477,46.33576161,0.8,49290.0,52501.0,61.1111111111111,2005,164.067984189723,9.0,0.213765883039635,59.15,57.939,56.82,0.200640663504601,70.8020146732983,0.691879987716675,86.0,38.13536453,15.9005048156199,-3204.0,53.1,2092.56370669535,665.720215700547,3230384759.39241,393393.0,49.6789949117244,50.3210050882756,1660368.0,841681.0,818687.0,32.4767786561265,10.8,97.2680861276422,31.578,-1.927,10.56,2.969,9.29300022125244,5.719085,52.43168,49.45527,55.35564,91.8186694338443,85.314747583195,98.161353763002,5.8,52.02,17557.0,8369.0,9188.0,
2093,GM,75.31670545,46.45509834,,46996.0,50624.0,63.3333333333333,2004,159.310770750988,9.0,0.213828841266457,58.738,57.553,56.461,0.164906054735184,71.1275856979192,0.622470021247864,86.0,35.62044907,15.9127406972251,-3632.0,54.7,2143.36664168967,642.756218338464,3207599620.08799,381282.0,49.6964298601292,50.3035701398708,1612225.0,817742.0,794483.0,33.0432806324111,11.1,97.1557043664139,31.354,-2.249,10.847,2.915,9.18599987030029,5.704715,54.18886,51.20197,57.12552,95.5820697120584,88.967088887025,102.033891921941,5.9,51.288,17513.0,8378.0,9135.0,
2094,GM,74.96069707,47.53368116,,44940.0,48661.0,,2003,154.76847826087,9.0,0.206907262045229,58.328,57.159,56.084,0.322430104017258,71.450351103472,1.36337995529175,86.0,32.37854767,15.9260434804207,-3717.0,56.4,2012.53499003385,335.906216950504,2918024795.42483,369478.0,49.7165025777195,50.2834974222805,1566257.0,794881.0,771376.0,33.6097826086957,11.4,97.0429535993438,31.016,-2.369,11.237,2.869,9.16100025177002,5.699439,56.09861,53.07876,59.07081,99.7899463301046,93.0226610189569,106.391347132746,5.8,50.555,17629.0,8410.0,9219.0,47.3
2095,GM,74.57954034,48.64646405,,43129.0,47196.0,,2002,150.417243083004,9.0,0.213635203605684,57.927,56.761,55.69,0.826159775257111,71.9791651028957,1.44291996955872,86.0,40.10683441,15.9172754362145,-4068.0,58.1,1906.7641077741,411.771893943142,2677598286.27518,357403.0,49.7401127851407,50.2598872148593,1522223.0,772505.0,749718.0,34.1762845849802,11.7,97.0503084448052,30.949,-2.668,11.57,2.833,9.21700000762939,5.72776,58.05131,54.99961,61.05782,104.134638536554,97.218960673613,110.883879288034,5.8,49.683,17643.0,8320.0,9323.0,
2096,GM,74.1917965,49.85942635,,42417.0,46288.0,,2001,146.190662055336,9.0,0.227929444807988,57.536,56.359,55.281,,72.5042877660924,1.15810000896454,86.0,42.06741714,15.8919538025742,-3876.0,59.8,2003.62653742858,505.421636114705,2725072344.76049,345128.0,49.768982478843,50.231017521157,1479450.0,750278.0,729172.0,34.7427865612648,11.8,97.186842743623,31.231,-2.615,11.69,2.867,9.10999965667725,5.751946,60.08766,57.01112,63.12216,108.765863521763,101.727527123988,115.639079540858,5.7,48.775,17326.0,8102.0,9223.0,
2097,GM,73.80407731,51.09736592,,41404.0,45080.0,,2000,142.049308300395,9.0,0.182134433425311,57.153,55.956,54.859,0.533818602561951,73.0142751863763,1.46587002277374,86.0,50.86863708,15.8787370310497,-3676.0,61.6,1911.60135085944,594.149388499649,2518932392.83829,333252.0,49.803674258637,50.196325741363,1437539.0,728476.0,709063.0,35.3092885375494,11.6,97.3351215414097,31.305,-2.553,11.841,2.88,9.08300018310547,5.801335,62.11574,59.01562,65.17884,113.429600963871,106.3772243658,120.32336658491,5.6,47.868,17050.0,7952.0,9098.0,
2098,GM,,,,40676.0,44167.0,,1999,137.993972332016,9.0,0.20358338070562,56.771,55.547,54.427,,73.5025397503441,1.56512999534607,86.0,,15.8774683228266,-3486.0,63.4,1828.11569124505,637.939062861631,2334719455.3715,321732.0,49.8474690670713,50.1525309329287,1396499.0,707098.0,689401.0,35.875790513834,11.4,97.4972351781507,31.575,-2.492,12.024,2.913,9.04500007629395,5.871089,64.50931,61.37173,67.61545,118.818697294209,111.549018709362,125.93076319962,,46.961,16819.0,7773.0,9046.0,
2099,GM,,,,39944.0,43230.0,,1998,134.010770750988,9.0,0.193841650755498,56.382,55.133,53.99,0.675648868083954,73.9831732185526,,86.0,,15.8899778466649,-3291.0,65.2,1747.63783870469,678.676178340413,2163792351.40841,310773.0,49.8992023416071,50.1007976583929,1356189.0,686078.0,670112.0,36.4422924901186,11.2,97.6728576582092,31.821,-2.422,12.254,2.946,9.03999996185303,5.930109,66.25481,63.07263,69.40928,123.048213684155,115.604074025889,130.334301043739,,46.057,16647.0,7693.0,8954.0,48.5
2100,GM,,,,38430.0,41537.0,,1997,130.138537549407,,0.191583327919022,55.982,54.715,53.553,,74.4618729457752,,86.0,,15.9130278972273,-3099.0,67.1,1722.04418186307,669.401095968637,2067351925.29861,300621.0,49.9503549289392,50.0496450710608,1317002.0,665651.0,651351.0,37.0087944664032,11.0,97.8517271062464,31.488,-2.349,12.607,2.918,8.99899959564209,5.922335,68.66844,65.44354,71.87156,128.933913253877,121.34528027521,136.366923294502,,45.155,16631.0,7690.0,8940.0,
