id,pais_id,año,INB_percapita,nivel_id
357,14.0,2004,33850.0,3.0
358,14.0,2003,28100.0,3.0
359,14.0,2002,25030.0,3.0
360,14.0,2001,25320.0,3.0
361,14.0,2000,26810.0,3.0
362,14.0,1999,27080.0,3.0
363,14.0,1998,27970.0,3.0
364,14.0,1997,29560.0,3.0
365,14.0,1996,30090.0,3.0
366,14.0,1995,28190.0,3.0
367,14.0,1994,26140.0,3.0
368,14.0,1993,24870.0,3.0
369,14.0,1992,24520.0,3.0
370,14.0,1991,21810.0,3.0
371,14.0,1990,20630.0,3.0
372,15.0,2020,4480.0,2.0
373,15.0,2019,4510.0,2.0
374,15.0,2018,4080.0,2.0
375,15.0,2017,4110.0,2.0
376,15.0,2016,4790.0,2.0
377,15.0,2015,6610.0,2.0
378,15.0,2014,7740.0,2.0
379,15.0,2013,7450.0,2.0
380,15.0,2012,6480.0,2.0
381,15.0,2011,5570.0,2.0
382,15.0,2010,5410.0,2.0
383,15.0,2009,4820.0,2.0
384,15.0,2008,3890.0,1.0
385,15.0,2007,2730.0,1.0
386,15.0,2006,1920.0,1.0
387,15.0,2005,1290.0,1.0
388,15.0,2004,960.0,0.0
389,15.0,2003,840.0,0.0
390,15.0,2002,740.0,0.0
391,15.0,2001,680.0,0.0
392,15.0,2000,630.0,0.0
393,15.0,1999,600.0,0.0
394,15.0,1998,510.0,0.0
395,15.0,1997,410.0,0.0
396,15.0,1996,240.0,0.0
397,15.0,1995,180.0,0.0
398,15.0,1994,80.0,0.0
399,15.0,1993,110.0,0.0
400,15.0,1992,,
401,15.0,1991,,
402,15.0,1990,,
403,23.0,2020,24290.0,3.0
404,23.0,2019,32420.0,3.0
405,23.0,2018,31070.0,3.0
406,23.0,2017,30580.0,3.0
407,23.0,2016,28930.0,3.0
408,23.0,2015,28810.0,3.0
409,23.0,2014,28180.0,3.0
410,23.0,2013,27600.0,3.0
411,23.0,2012,28590.0,3.0
412,23.0,2011,27900.0,3.0
413,23.0,2010,28290.0,3.0
414,23.0,2009,28980.0,3.0
415,23.0,2008,30900.0,3.0
416,23.0,2007,31090.0,3.0
417,23.0,2006,30760.0,3.0
418,23.0,2005,30570.0,3.0
419,23.0,2004,29270.0,3.0
420,23.0,2003,27770.0,3.0
421,23.0,2002,27190.0,3.0
422,23.0,2001,26560.0,3.0
423,23.0,2000,26360.0,3.0
424,23.0,1999,24150.0,3.0
425,23.0,1998,16810.0,3.0
426,23.0,1997,15180.0,3.0
427,23.0,1996,15930.0,3.0
428,23.0,1995,14260.0,3.0
429,23.0,1994,11600.0,2.0
430,23.0,1993,11310.0,2.0
431,23.0,1992,11550.0,2.0
432,23.0,1991,11330.0,2.0
433,23.0,1990,11870.0,2.0
434,22.0,2020,19930.0,3.0
435,22.0,2019,22230.0,3.0
436,22.0,2018,22000.0,3.0
437,22.0,2017,21250.0,3.0
438,22.0,2016,21570.0,3.0
439,22.0,2015,22580.0,3.0
440,22.0,2014,24070.0,3.0
441,22.0,2013,23790.0,3.0
442,22.0,2012,22010.0,3.0
443,22.0,2011,18160.0,3.0
444,22.0,2010,18970.0,3.0
445,22.0,2009,18830.0,3.0
446,22.0,2008,20860.0,3.0
447,22.0,2007,19660.0,3.0
448,22.0,2006,17890.0,3.0
449,22.0,2005,16550.0,3.0
450,22.0,2004,14570.0,3.0
451,22.0,2003,12940.0,3.0
452,22.0,2002,12060.0,2.0
453,22.0,2001,11500.0,2.0
454,22.0,2000,10940.0,2.0
455,22.0,1999,9870.0,2.0
456,22.0,1998,10070.0,2.0
457,22.0,1997,10310.0,2.0
458,22.0,1996,10790.0,2.0
459,22.0,1995,10380.0,2.0
460,22.0,1994,9680.0,2.0
461,22.0,1993,10030.0,2.0
462,22.0,1992,9890.0,2.0
463,22.0,1991,9800.0,2.0
464,22.0,1990,9070.0,2.0
465,20.0,2020,2340.0,1.0
466,20.0,2019,2250.0,1.0
467,20.0,2018,2040.0,1.0
468,20.0,2017,1670.0,1.0
469,20.0,2016,1430.0,1.0
470,20.0,2015,1220.0,1.0
471,20.0,2014,1110.0,1.0
472,20.0,2013,1040.0,1.0
473,20.0,2012,970.0,0.0
474,20.0,2011,890.0,0.0
475,20.0,2010,800.0,0.0
476,20.0,2009,730.0,0.0
477,20.0,2008,660.0,0.0
478,20.0,2007,610.0,0.0
479,20.0,2006,570.0,0.0
480,20.0,2005,550.0,0.0
481,20.0,2004,510.0,0.0
482,20.0,2003,460.0,0.0
483,20.0,2002,440.0,0.0
484,20.0,2001,440.0,0.0
485,20.0,2000,440.0,0.0
486,20.0,1999,420.0,0.0
487,20.0,1998,420.0,0.0
488,20.0,1997,400.0,0.0
489,20.0,1996,370.0,0.0
490,20.0,1995,340.0,0.0
491,20.0,1994,320.0,0.0
492,20.0,1993,320.0,0.0
493,20.0,1992,330.0,0.0
494,20.0,1991,320.0,0.0
495,20.0,1990,320.0,0.0
496,30.0,2020,15750.0,3.0
497,30.0,2019,17130.0,3.0
498,30.0,2018,16610.0,3.0
499,30.0,2017,16090.0,3.0
500,30.0,2016,15940.0,3.0
501,30.0,2015,15760.0,3.0
502,30.0,2014,15630.0,3.0
503,30.0,2013,15660.0,3.0
504,30.0,2012,15730.0,3.0
505,30.0,2011,15040.0,3.0
506,30.0,2010,15540.0,3.0
507,30.0,2009,15740.0,3.0
508,30.0,2008,16160.0,3.0
509,30.0,2007,15520.0,3.0
510,30.0,2006,14240.0,3.0
511,30.0,2005,13240.0,3.0
512,30.0,2004,12290.0,2.0
513,30.0,2003,11300.0,2.0
514,30.0,2002,10650.0,2.0
515,30.0,2001,10630.0,2.0
516,30.0,2000,10780.0,2.0
517,30.0,1999,9820.0,2.0
518,30.0,1998,9420.0,2.0
519,30.0,1997,9050.0,2.0
520,30.0,1996,8700.0,2.0
521,30.0,1995,8340.0,2.0
522,30.0,1994,8010.0,2.0
523,30.0,1993,7690.0,2.0
524,30.0,1992,7460.0,2.0
525,30.0,1991,7570.0,2.0
526,30.0,1990,7600.0,2.0
527,25.0,2020,6280.0,2.0
528,25.0,2019,6370.0,2.0
529,25.0,2018,5730.0,2.0
530,25.0,2017,5320.0,2.0
531,25.0,2016,5640.0,2.0
532,25.0,2015,6750.0,2.0
533,25.0,2014,7620.0,2.0
534,25.0,2013,7030.0,2.0
535,25.0,2012,6630.0,2.0
536,25.0,2011,6340.0,2.0
537,25.0,2010,6150.0,2.0
538,25.0,2009,5660.0,2.0
539,25.0,2008,5470.0,2.0
540,25.0,2007,4310.0,2.0
541,25.0,2006,3510.0,1.0
542,25.0,2005,2820.0,1.0
543,25.0,2004,2170.0,1.0
544,25.0,2003,1630.0,1.0
545,25.0,2002,1380.0,1.0
546,25.0,2001,1300.0,1.0
547,25.0,2000,1380.0,1.0
548,25.0,1999,1410.0,1.0
549,25.0,1998,1560.0,1.0
550,25.0,1997,1540.0,1.0
551,25.0,1996,1450.0,1.0
552,25.0,1995,1370.0,1.0
553,25.0,1994,1460.0,1.0
554,25.0,1993,1600.0,1.0
555,25.0,1992,1800.0,1.0
556,25.0,1991,,
