acceso_servicios_sanitarios(%),año,esperanza_vida_total,estado_civil_casado_porcentaje,pais_id,tasa_bruta_mortalidad_por_1000_habitantes,tasa_fertilidad,tasa_mortalidad_infantil_ambos,tasa_mortalidad_suicidio_c/100.000,tasa_poblacion_urbana,total_muertes_por_sexo_fem,nivel_id
73.9999462506,1994.0,55.174,74.4821319933968,18.0,13.473,6.413091,96.00931,2.9400000000000004,36.447,38071.0,0.0
82.637660482,1993.0,55.042,74.6547785334587,18.0,13.748,6.505981,98.08403,2.58,36.136,36444.0,0.0
82.637660482,1992.0,54.776,75.0809957245462,18.0,14.088,6.595536,100.28559,2.58,35.827,35856.0,0.0
82.637660482,1991.0,54.366,75.5079464185302,18.0,14.461,6.667242,102.60218,2.58,35.247,35589.0,0.0
82.637660482,1990.0,53.812,75.9397995752671,18.0,14.75,6.73151,104.58259,2.58,34.485,35252.0,0.0
51.08531572,2003.0,63.624,63.2989703356013,32.0,7.542,2.915958,49.48174,4.6,28.688,2073.0,0.0
49.23632532,2002.0,62.728,63.4126743323961,32.0,7.669,3.077631,52.08974,4.7,27.57,2061.0,0.0
47.35472836,2001.0,61.808,63.4941143368994,32.0,7.827,3.232311,54.78794,4.9,26.48,2060.0,0.0
46.99951716,2000.0,60.884,63.5405966233089,32.0,8.368,3.414418,60.71952,4.8,25.418,2155.0,0.0
82.637660482,1999.0,59.974,63.5941858358854,32.0,8.221,3.60658,60.11385,2.58,24.383,2064.0,0.0
46.698712257,1998.0,59.089,63.5839625870552,32.0,8.529,3.852952,63.14521,4.86,23.377,2103.0,0.0
62.9328039568,1997.0,58.236,63.6300361838628,32.0,8.858,4.088406,66.20879,3.54,22.401,2156.0,0.0
82.637660482,1996.0,57.418,63.705657342599,32.0,9.189,4.368596,69.13153,2.58,21.456,2205.0,0.0
78.33628310200001,1995.0,56.636,63.8025213697175,32.0,9.555,4.624335,72.28602,2.56,20.537,2255.0,0.0
78.099463892,1994.0,55.878,63.9231485006316,32.0,10.024,4.865895,76.12186,2.64,19.649,2366.0,0.0
77.852995198,1993.0,55.131,64.0526482192874,32.0,10.312,5.071768,78.81302,2.66,18.791,2442.0,0.0
82.637660482,1992.0,54.384,64.2040611586701,32.0,10.699,5.26742,82.09243,2.58,17.962,2776.0,0.0
82.637660482,1991.0,53.633,64.3438199891968,32.0,11.145,5.451375,85.7536,2.58,17.161,2871.0,0.0
76.438876324,1990.0,52.878,64.4832955334988,32.0,11.543,5.604094,89.37572,4.199999999999999,16.388,2909.0,0.0
40.4716573,2005.0,65.312,58.9210290518373,28.0,8.554,3.558381,46.59184,6.3,64.17,36983.0,0.0
39.35902795,2004.0,64.766,58.9800114993963,28.0,8.787,3.633333,48.70406,6.3,63.711,37498.0,0.0
38.24250317,2003.0,64.21,59.0464971072312,28.0,9.038,3.72093,50.92657,6.4,63.248,37736.0,0.0
37.12270953,2002.0,63.64,59.1087066715509,28.0,9.287,3.801637,53.3403,6.6,62.783,38325.0,0.0
35.99628542,2001.0,63.054,59.1575376093714,28.0,9.636,3.889923,55.86778,6.6,62.306,39325.0,0.0
34.85301548,2000.0,62.452,59.2013520409565,28.0,9.826,3.99057,58.64824,6.9,61.787,39626.0,0.0
74.78622739,1999.0,61.835,59.2326970451515,28.0,9.992,4.090433,61.59256,2.46,61.264,39690.0,0.0
82.637660482,1998.0,61.204,59.2641536797133,28.0,10.156,4.148679,64.7697,2.58,60.739,39881.0,0.0
75.59053108,1997.0,60.566,59.3144450335836,28.0,10.329,4.21862,68.07941,2.98,60.212,40065.0,0.0
83.31126216,1996.0,59.922,59.3782080735414,28.0,10.525,4.336169,71.44281,2.6,59.682,40050.0,0.0
82.637660482,1995.0,59.276,59.4547548931939,28.0,10.625,4.409436,74.90708,2.58,59.15,39780.0,0.0
82.637660482,1994.0,58.631,59.5339015913989,28.0,10.689,4.493715,78.46098,2.58,58.615,39326.0,0.0
73.01979530060001,1993.0,57.989,59.6215596427098,28.0,10.736,4.592102,82.03582,2.5599999999999996,58.079,38924.0,0.0
76.528203692,1992.0,57.351,59.7164527881624,28.0,11.191,4.713297,85.59751,3.88,57.541,40071.0,0.0
82.637660482,1991.0,56.721,59.8053717735655,28.0,11.518,4.81029,88.91569,2.58,56.579,40317.0,0.0
76.615608686,1990.0,56.099,59.8882375266052,28.0,11.925,4.889863,92.3326,2.96,55.577,41025.0,0.0
82.637660482,1997.0,72.976,61.8248386775883,24.0,8.314,1.676796,10.16589,2.58,41.442,16310.0,0.0
82.637660482,1996.0,72.307,62.4817307121095,24.0,8.425,1.650537,10.75445,2.58,41.13,15727.0,0.0
21.6643726,2020.0,61.981,74.6311796156638,19.0,8.813,4.869253,50.84276,2.58,30.607,91029.0,0.0
21.34059658,2019.0,61.577,74.9292085113226,19.0,8.75,4.970952,52.25332,7.5,29.98,88178.0,0.0
20.99241949,2018.0,61.174,75.2147558267386,19.0,8.809,5.069299,53.53194,7.6,29.358,86892.0,0.0
20.62044183,2017.0,60.768,75.463906132445,19.0,9.113,5.162071,55.04284,7.7,28.743,87500.0,0.0
